Pier Legs|桟橋の脚
Wall F(Diagonal, Wood B)|壁F(斜め・木造B)
Wall G(Diagonal, Deck A)|壁G(斜め・甲板A)
Wall G(Diagonal, Deck A)|壁G(斜め・甲板A)
Wall H(Diagonal, Deck B)|壁H(斜め・甲板B)
Wall H(Diagonal, Deck B)|壁H(斜め・甲板B)
Rooftop A|屋上A
Rooftop A|屋上A
Rooftop A|屋上A
Bullet A|弾丸A
Tank Gun|戦車砲
Rooftop B|屋上B
Rooftop B|屋上B
Rooftop B|屋上B
Rooftop A|屋上A
Rooftop A|屋上A
Rooftop A|屋上A
Bullet B|弾丸B
Tank Gun|戦車砲
Rooftop B|屋上B
Rooftop B|屋上B
Rooftop B|屋上B
Rooftop A|屋上A
Rooftop A|屋上A
Rooftop A|屋上A
Bullet B|弾丸B
Tank Gun|戦車砲
Rooftop B|屋上B
Rooftop B|屋上B
Rooftop B|屋上B
Rooftop C|屋上C
Rooftop C|屋上C
Rooftop C|屋上C
Tank Gun|戦車砲
Tank Gun|戦車砲
Tank Gun|戦車砲
Keel|竜骨
Outside Light|外灯
Rooftop C|屋上C
Rooftop C|屋上C
Rooftop C|屋上C
Tank Gun|戦車砲
Tank Gun|戦車砲
Tank Gun|戦車砲
Keel|竜骨
Outside Light|外灯
Rooftop C|屋上C
Rooftop C|屋上C
Rooftop C|屋上C
Mast Yard A|マストのヤードA
Mast Yard A|マストのヤードA
Mast Yard A|マストのヤードA
Keel|竜骨
Outside Light|外灯
Nothing|無し
Tent|テント
Nothing|無し
Mast|帆柱
Flag|旗
Flag|旗
Flag|旗
Mast|帆柱
Tent|テント
Tent|テント
Tent|テント
Mast|帆柱
Flag|旗
Flag|旗
Flag|旗
Mast|帆柱
Tent|テント
Tent|テント
Tent|テント
Mast|帆柱
Lantern|ランタン
Mast Yard B|マストのヤードB
Mast Yard B|マストのヤードB
Mast Yard B|マストのヤードB
Tent|テント
Tent|テント
Tent|テント
Handrail A|手すりA
Handrail A|手すりA
Sail|帆
Sail|帆
Sail|帆
Nothing|無し
Inside The Tent|テント内部
Nothing|無し
Handrail A|手すりA
Handrail A|手すりA
Handrail A|手すりA
Handrail A|手すりA
Handrail A|手すりA
Inside The Tent|テント内部
Inside The Tent|テント内部
Inside The Tent|テント内部
Handrail A|手すりA
Handrail A|手すりA
Handrail A|手すりA
Handrail A|手すりA
Handrail A|手すりA
Inside The Tent|テント内部
Inside The Tent|テント内部
Inside The Tent|テント内部
Handrail A|手すりA
Handrail C|手すりC
Handrail B|手すりB
Handrail B|手すりB
Handrail B|手すりB
Inside The Tent|テント内部
Inside The Tent|テント内部
Inside The Tent|テント内部
Handrail A|手すりA
Handrail C|手すりC
Handrail B|手すりB
Handrail B|手すりB
Handrail B|手すりB
Handrail A|手すりA
Handrail A|手すりA
Handrail A|手すりA
Handrail A|手すりA
Handrail C|手すりC
Handrail B|手すりB
Handrail B|手すりB
Handrail B|手すりB
Handrail C|手すりC
Handrail C|手すりC
Handrail C|手すりC
Handrail C|手すりC
Handrail C|手すりC
Handrail B|手すりB
Handrail B|手すりB
Handrail B|手すりB
Handrail C|手すりC
Handrail C|手すりC
Handrail C|手すりC
Handrail C|手すりC
Handrail C|手すりC
Handrail B|手すりB
Handrail B|手すりB
Handrail B|手すりB
Handrail C|手すりC
Handrail C|手すりC
Handrail C|手すりC
Handrail C|手すりC
Handrail C|手すりC
Handrail B|手すりB
Handrail B|手すりB
Handrail B|手すりB
Interceptor System A|迎撃システムA
Interceptor System A|迎撃システムA
Interceptor System A|迎撃システムA
Interceptor System B|迎撃システムB
Interceptor System B|迎撃システムB
Interceptor System B|迎撃システムB
Cannon A(Facing Left)|大砲A(左向き)
Cannon A(Facing Left)|大砲A(左向き)
Interceptor System A|迎撃システムA
Interceptor System A|迎撃システムA
Interceptor System A|迎撃システムA
Interceptor System B|迎撃システムB
Interceptor System B|迎撃システムB
Interceptor System B|迎撃システムB
Cannon A(Facing Right)|大砲A(右向き)
Cannon A(Facing Right)|大砲A(右向き)
Interceptor System A|迎撃システムA
Interceptor System A|迎撃システムA
Interceptor System A|迎撃システムA
Interceptor System B|迎撃システムB
Interceptor System B|迎撃システムB
Interceptor System B|迎撃システムB
Cannon B(Facing Left)|大砲B(左向き)
Cannon B(Facing Left)|大砲B(左向き)
Interceptor System A|迎撃システムA
Interceptor System A|迎撃システムA
Interceptor System A|迎撃システムA
Interceptor System B|迎撃システムB
Interceptor System B|迎撃システムB
Interceptor System B|迎撃システムB
Cannon B(Facing Right)|大砲B(右向き)
Cannon B(Facing Right)|大砲B(右向き)
