Transparent|透明
Sofa B(Side)|ソファーB(側面)
Sofa B(Two-Seater,Side)|ソファーB(二人掛け・側面)
Sofa A(Front)|ソファーA(正面)
Sofa A(Back)|ソファーA(背面)
Phone A|電話A
Cockpit B|操縦席B
Cockpit B|操縦席B
Sofa A(Two-Seater,Side)|ソファーA(二人掛け・側面)
Sofa A(Side)|ソファーA(側面)
Sofa B(Two-Seater,Side)|ソファーB(二人掛け・側面)
Sofa B(Front)|ソファーB(正面)
Sofa B(Back)|ソファーB(背面)
Phone B|電話B
Cockpit B|操縦席B
Cockpit B|操縦席B
Sofa C(Two-Seater,Side)|ソファーC(二人掛け・側面)
Sofa D(Side)|ソファーD(側面)
Sofa D(Two-Seater,Side)|ソファーD(二人掛け・側面)
Sofa D(Front)|ソファーD(正面)
Sofa D(Back)|ソファーD(背面)
Microphone A|マイクA
Cockpit C|操縦席C
Cockpit C|操縦席C
Sofa C(Two-Seater,Side)|ソファーC(二人掛け・側面)
Sofa C(Side)|ソファーC(側面)
Sofa D(Two-Seater,Side)|ソファーD(二人掛け・側面)
Sofa C(Front)|ソファーC(正面)
Sofa C(Back)|ソファーC(背面)
Microphone B|マイクB
Cockpit C|操縦席C
Cockpit C|操縦席C
Emergency Medical Kit A|救急医療キットA
Emergency Medical Kit B|救急医療キットB
Emergency Medical Kit C|救急医療キットC
Emergency Medical Kit D|救急医療キットD
Emergency Medical Kit E|救急医療キットE
Sack|麻袋
Pot A|壺A
Pot B|壺B
Float A|浮き輪A
Float B|浮き輪B
Float C|浮き輪C
Anchor A|錨A
Anchor B|錨B
Anchor C|錨C
Barrel|樽
Crate|木箱
Log(Supplement to Raft)|丸太(いかだ補足)
Fireplace A|暖炉A
Fireplace B|暖炉B
Fireplace C|暖炉C
Large Bed|大きなベッド
Large Bed|大きなベッド
Bed A|ベッドA
Bed B|ベッドB
Log(Supplement to Raft)|丸太(いかだ補足)
Fireplace A|暖炉A
Fireplace B|暖炉B
Fireplace C|暖炉C
Large Bed|大きなベッド
Large Bed|大きなベッド
Bed A|ベッドA
Bed B|ベッドB
Log(Supplement to Raft)|丸太(いかだ補足)
Fireplace A|暖炉A
Fireplace B|暖炉B
Fireplace C|暖炉C
Large Quilt|大きな掛け布団
Large Quilt|大きな掛け布団
Quilt A|掛け布団A
Quilt B|掛け布団B
Posted Notice|貼り紙
Fireplace A|暖炉A
Fireplace B|暖炉B
Fireplace C|暖炉C
Clock A|時計A
Clock B|時計B
Clock C|時計C
Painting|絵画
Large Fireplace A|大きな暖炉A
Large Fireplace A|大きな暖炉A
Large Fireplace A|大きな暖炉A
Large Fireplace B|大きな暖炉B
Large Fireplace B|大きな暖炉B
Large Fireplace B|大きな暖炉B
Piano|ピアノ
Piano|ピアノ
Large Fireplace A|大きな暖炉A
Large Fireplace A|大きな暖炉A
Large Fireplace A|大きな暖炉A
Large Fireplace B|大きな暖炉B
Large Fireplace B|大きな暖炉B
Large Fireplace B|大きな暖炉B
Piano|ピアノ
Piano|ピアノ
Large Fireplace A|大きな暖炉A
Large Fireplace A|大きな暖炉A
Large Fireplace A|大きな暖炉A
Large Fireplace B|大きな暖炉B
Large Fireplace B|大きな暖炉B
Large Fireplace B|大きな暖炉B
Bookshelf|本棚
Dish Cabinet|食器棚
Book A|本A
Book B|本B
Book C|本C
Kitchen Counter A|調理台A
Kitchen Counter A|調理台A
Kitchen Counter A|調理台A
Bookshelf|本棚
Dish Cabinet|食器棚
Pot A|ポットA
Pot B|ポットB
Pot C|ポットC
Kitchen Counter B|調理台B
Kitchen Counter B|調理台B
Kitchen Counter B|調理台B
Sundries Shelf|雑貨棚
Chest of Drawers|タンス
Table|テーブル
Beer Barrel|ビール樽
Pint Mug|ジョッキ
Hanging Meat|吊るし肉
Cooking Utensils A|調理器具A
Cooking Utensils B|調理器具B
Sundries Shelf|雑貨棚
Chest of Drawers|タンス
Chair A (Wood)|背もたれ椅子A（木製）
Chair B (Noble)|背もたれ椅子B（貴族）
Bottle|ボトル
Cup|カップ
Pen A|ペンA
Pen B|ペンB
Pen C|ペンC
Globe|地球儀
Chair A (Wood)|背もたれ椅子A（木製）
Chair B (Noble)|背もたれ椅子B（貴族）
Soup|スープ
Note|メモ
Mirror A|鏡A
Candlestand A|燭台A
Candlestand B|燭台B
Candlestand C|燭台C
Stool A|椅子A
Stool B|椅子B
Potted Plant|植木鉢
Mirror B|鏡B
Mirror A|鏡A
Candlestand D|燭台D
Candlestand E|燭台E
Candlestand F|燭台F
Stool C|椅子C
Spear|槍
Spear|槍
Sword|剣
Axe|斧
Armor|鎧
Shield|盾
Bones A|骸骨A
Tapestry A|タペストリーA
Tapestry B|タペストリーB
Angel Statue|天使像
Broken Angel Statue|壊れた天使像
Demon Statue|悪魔像
Rug|敷物
Rug|敷物
Bones B|骸骨B
Tapestry A|タペストリーA
Tapestry B|タペストリーB
Angel Statue|天使像
Broken Demon Statue|壊れた悪魔像
Demon Statue|悪魔像
Rug|敷物
Rug|敷物
Hunting Trophy|ハンティング・トロフィー

