Black|黒
Stairs (Paved, Left)|階段（舗装・左）
Stairs (Paved, Center)|階段（舗装・中央）
Stairs (Paved, Right)|階段（舗装・右）
Stairs (Paved)|階段（舗装）
Stairs (Dirt, Left)|階段（土・左）
Stairs (Dirt, Center)|階段（土・中央）
Stairs (Dirt, Right)|階段（土・右）
Stairs (Dirt)|階段（土）
Stairs (Desert, Left)|階段（砂地・左）
Stairs (Desert, Center)|階段（砂地・中央）
Stairs (Desert, Right)|階段（砂地・右）
Stairs (Desert)|階段（砂地）
Stairs (Snow, Left)|階段（雪・左）
Stairs (Snow, Center)|階段（雪・中央）
Stairs (Snow, Right)|階段（雪・右）
Stairs (Snow)|階段（雪）
Field With Crops A|畑と作物A
Field A|畑A
Field With Crops B|畑と作物B
Field B|畑B
Field With Crops C|畑と作物C
Field C|畑C
Field D (Snow)|畑D(雪)
Grey|灰色
Stone Bridge A(Top, Side)|石橋A(上・横)
Stone Bridge B(Top, Side)|石橋B(上・横)
Stone Bridge C(Top, Side)|石橋C(上・横)
Small Stone Bridge A(Side)|石橋A(横)
Small Stone Bridge A(Vertical)|石橋A(縦)
Wooden Bridge A (Left, Vertical)|木造の橋A（左・縦）
Wooden Bridge A (Right, Vertical)|木造の橋A（右・縦）
Wooden Bridge A (Center, Vertical)|木造の橋A（中央・縦）
Stone Bridge A(Center, Side)|石橋A(中央・横)
Stone Bridge B(Center, Side)|石橋B(中央・横)
Stone Bridge C(Center, Side)|石橋C(中央・横)
Small Stone Bridge B(Side)|石橋B(横)
Small Stone Bridge B(Vertical)|石橋B(縦)
Wooden Bridge B (Snow, Left, Vertical)|木造の橋B（雪・左・縦）
Wooden Bridge B (Snow, Right, Vertical)|木造の橋B（雪・右・縦）
Wooden Bridge B (Snow, Center, Vertical)|木造の橋B（雪・中央・縦）
Stone Bridge A(Under, Side)|石橋A(下・横)
Stone Bridge B(Under, Side)|石橋B(下・横)
Stone Bridge C(Under, Side)|石橋C(下・横)
Small Stone Bridge C(Side)|石橋C(横)
Small Stone Bridge C(Vertical)|石橋C(縦)
Brown|茶色
Wooden Bridge C (Snow, Center, Side)|木造の橋C（雪・中央・横）
Wooden Bridge D (Center, Side)|木造の橋D（中央・横）
Stone Bridge A(Top, Left, Vertical)|石橋A(上・左・縦)
Stone Bridge A(Top, Right, Vertical)|石橋A(上・右・縦)
Stone Bridge B(Top, Left, Vertical)|石橋B(上・左・縦)
Stone Bridge B(Top, Right, Vertical)|石橋B(上・右・縦)
Stone Bridge C(Top, Left, Vertical)|石橋C(上・左・縦)
Stone Bridge C(Top, Right, Vertical)|石橋C(上・右・縦)
Wooden Bridge C (Snow, Top, Side)|木造の橋C（雪・上・横）
Wooden Bridge D (Top, Side)|木造の橋D（上・横）
Stone Bridge A(Under, Left, Vertical)|石橋A(下・左・縦)
Stone Bridge A(Under, Right, Vertical)|石橋A(下・右・縦)
Stone Bridge B(Under, Left, Vertical)|石橋B(下・左・縦)
Stone Bridge B(Under, Right, Vertical)|石橋B(下・右・縦)
Stone Bridge C(Under, Left, Vertical)|石橋C(下・左・縦)
Stone Bridge C(Under, Right, Vertical)|石橋C(下・右・縦)
Wooden Bridge C (Snow, Under, Side)|木造の橋C（雪・下・横）
Wooden Bridge D (Under, Side)|木造の橋D（下・横）
